801,אקסלנס מרכזית לפיצויים שקלי
804,אקסלנס מרכזית לפיצויים מחקה מדדי מניות
806,אקסלנס מרכזית לפיצויים צמוד מדד
811,אנליסט גמל ישראל
813,"אנליסט גמל אג""ח"
814,אנליסט גמל מניות
815,אנליסט גמל שקלי
817,"אנליסט גמל מניות בחו""ל"
818,"אנליסט גמל  חו""ל"
820,הראל רבת מסלולים
827,מבטחים מרכזית לפיצויים
828,מנורה מבטחים השתלמות-להבה כללי
835,פסגות גדיש אגח צמוד מדד
839,פסגות שיא פיצויים כספית
840,פסגות שיא פיצויים שקלית ללא מניות
842,פסגות שיא פיצויים מדדית ללא מניות
844,פסגות שיא פיצויים מניות
845,פסגות שיא פיצויים עד 10% מניות
857,הראל דקל
858,מגדל לתגמולים ולפיצויים שקלי טווח קצר
859,"מגדל לתגמולים ולפיצויים אג""ח ממשלתי ישראלי"
860,מגדל לתגמולים ולפיצויים צמוד מדד
862,"מגדל לתגמולים ולפיצויים חו""ל"
863,מגדל לתגמולים ולפיצויים מניות
864,מגדל השתלמות שקלי טווח קצר
865,"מגדל השתלמות אג""ח ממשלתי ישראלי"
868,"מגדל השתלמות חו""ל"
869,מגדל השתלמות מניות
872,פסגות מרפא
874,מיטב דש גמל כללי
875,"מיטב דש גמל אג""ח צמוד מדד"
876,מיטב דש גמל שקלי
877,מיטב דש גמל מניות
880,מיטב דש השתלמות כללי
881,"מיטב דש השתלמות אג""ח צמוד מדד"
883,מיטב דש השתלמות מניות
885,מיטב דש פיצויים - רבת מסלולים
886,מיטב דש פיצויים - כללי
892,כלל לדמי מחלה
923,מיטב דש בטחון
948,מיטב דש גמל שקלי טווח קצר
954,הפניקס מרכזית
961,הפניקס תגמולים ופיצויים - מסלול מניות
962,אנליסט השתלמות כללי
963,אנליסט השתלמות מניות
964,הפניקס השתלמות-כללי
968,הפניקס השתלמות - מסלול מניות
969,אישית לפיצויים-אוניברסיטה עברית
972,"אנליסט השתלמות אג""ח"
973,"אנליסט השתלמות אג""ח ממשלת ישראל"
989,פסגות גדיש פאסיבי- מדדי מניות
1008,הלמן-אלדובי מחלה
1034,"הראל השתלמות מסלול חו""ל"
1035,"ילין לפידות קופת גמל מסלול אג""ח עד 25% מניות"
1036,ילין לפידות קופת גמל מסלול מניות
1037,"ילין לפידות קופת גמל מסלול אג""ח"
1038,"ילין לפידות קרן השתלמות מסלול אג""ח עד 25% מניות"
1039,ילין לפידות מרכזית לפיצויים
1055,איילון השתלמות מניות
1056,"איילון השתלמות מט""ח"
1057,"איילון השתלמות אג""ח"
1059,פסגות שיא השתלמות פאסיבי-כללי
1061,איילון השתלמות מסלול שקלי
1062,איילון תגמולים ואישית לפיצויים מניות
1063,"איילון תגמולים ואישית לפיצויים מט""ח"
1064,"איילון תגמולים ואישית לפיצויים אג""ח"
1068,איילון תגמולים ואישית לפיצויים שקלי
1070,איילון מרכזית לפיצויים צמוד מדד
1078,"אינפיניטי גמל אג""ח"
1079,אינפיניטי גמל מניות בישראל
1083,אינפיניטי השתלמות כללי
1084,"אינפיניטי השתלמות אג""ח"
1085,אינפיניטי השתלמות מניות בישראל
1093,אלטשולר שחם השתלמות כללי
1094,אלטשולר שחם פיצויים
1095,"אינפיניטי פיצויים סל אג""ח"
1100,"אקסלנס השתלמות אג""ח עד 15% מניות"
1107,"מיטב דש פיצויים אג""ח ללא מניות"
1110,"מנורה השתלמות אג""ח קונצרני"
1114,מנורה השתלמות שקלי לטווח קצר
1144,מנורה מרכזית לפיצויים כללי
1145,מנורה מרכזית לפיצויים עד 10% מניות
1147,"מנורה מבטחים תגמולים אג""ח עד 10% מניות"
1149,"מנורה  השתלמות אג""ח עד 10% מניות"
1154,מבטחים חופשה חגים והבראה
